trait	wave_feature	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	rg2
act_out_dreams	lead1_level4_energy	-0.007	0.0714	-0.0979	0.922	0.2298	0.0246	0.9823	0.012	0.0055	0.0067	4.9000000000000005e-05
act_out_dreams	lead1_level5_energy	-0.0463	0.069	-0.672	0.5016	0.2582	0.0263	0.9898	0.0126	0.0083	0.0069	0.00214369
act_out_dreams	lead1_level6_approx_energy	-0.0931	0.0828	-1.125	0.2606	0.164	0.0204	0.9979	0.0112	0.0054	0.0067	0.008667610000000001
act_out_dreams	lead1_level6_energy	-0.0471	0.0682	-0.6902	0.49	0.2572	0.0249	0.9905	0.0116	0.0086	0.0067	0.00221841
act_out_dreams	lead2_level1_energy	-0.1987	0.1431	-1.3887	0.1649	0.0495	0.015	0.9897	0.0094	0.0038	0.007	0.03948168999999999
act_out_dreams	lead2_level2_energy	-0.0754	0.1022	-0.7377	0.4607	0.0813	0.0164	0.9899	0.0101	0.0038	0.0066	0.005685159999999999
act_out_dreams	lead2_level3_energy	-0.0377	0.08	-0.4704	0.6381	0.1521	0.0213	0.9974	0.0095	-2.7598e-05	0.0069	0.0014212899999999997
act_out_dreams	lead2_level4_energy	-0.0193	0.0769	-0.2515	0.8014	0.1773	0.023	0.995	0.0102	-0.0003	0.0072	0.00037249000000000006
act_out_dreams	lead2_level5_energy	-0.0614	0.0791	-0.7754	0.4381	0.1956	0.0232	1.0002	0.0099	0.0078	0.0077	0.0037699600000000006
act_out_dreams	lead2_level6_approx_energy	-0.1161	0.0926	-1.254	0.2098	0.1303	0.0186	1.0026	0.0098	0.0045	0.007	0.013479209999999998
act_out_dreams	lead2_level6_energy	-0.0887	0.0805	-1.1027	0.2702	0.1934	0.0235	1.0063	0.0108	0.0113	0.0078	0.00786769
act_out_dreams	lead3_level1_energy	-0.0934	0.1271	-0.7348	0.4625	0.0588	0.0157	0.9852	0.0096	0.0006	0.007	0.00872356
act_out_dreams	lead3_level2_energy	0.0259	0.1103	0.2347	0.8144	0.0789	0.0178	0.9884	0.0095	0.0003	0.0069	0.00067081
act_out_dreams	lead3_level3_energy	0.0668	0.1041	0.6412	0.5214	0.0956	0.0204	0.9805	0.0098	-0.0103	0.0066	0.00446224
act_out_dreams	lead3_level4_energy	0.0473	0.1096	0.4314	0.6662	0.0789	0.0202	0.9858	0.0101	-0.0096	0.0064	0.0022372900000000003
act_out_dreams	lead3_level5_energy	0.0223	0.1226	0.1822	0.8555	0.0637	0.0197	0.9962	0.0099	-0.0065	0.0068	0.0004972900000000001
act_out_dreams	lead3_level6_approx_energy	-0.0405	0.1336	-0.3031	0.7618	0.0506	0.0151	1.001	0.0087	-0.0053	0.0065	0.00164025
act_out_dreams	lead3_level6_energy	0.0016	0.1357	0.0117	0.9907	0.0513	0.0164	1.0029	0.0091	-0.0061	0.0068	2.56e-06
act_out_dreams	lead4_level1_energy	-0.0385	0.14	-0.2751	0.7832	0.0468	0.017	1.0014	0.0098	0.0034	0.0073	0.00148225
act_out_dreams	lead4_level2_energy	0.0446	0.1184	0.3763	0.7067	0.0605	0.0166	1.0072	0.0102	0.0023	0.007	0.0019891600000000002
act_out_dreams	lead4_level3_energy	0.0233	0.0749	0.3116	0.7554	0.1947	0.0253	0.9825	0.0112	0.0005	0.0068	0.0005428900000000001
act_out_dreams	lead4_level4_energy	0.0404	0.0762	0.5302	0.596	0.2104	0.031	0.9828	0.013	-0.0013	0.0071	0.00163216
act_out_dreams	lead4_level5_energy	-0.0251	0.0725	-0.3457	0.7296	0.2482	0.0297	0.9876	0.0119	0.0051	0.0076	0.0006300100000000001
act_out_dreams	lead4_level6_approx_energy	-0.0404	0.0807	-0.5008	0.6165	0.1668	0.0204	0.9996	0.0093	0.0006	0.007	0.00163216
act_out_dreams	lead4_level6_energy	-0.0129	0.0731	-0.1766	0.8598	0.2367	0.0265	0.995	0.0105	0.0052	0.0074	0.00016641
act_out_dreams	lead5_level1_energy	-0.0299	0.1177	-0.2543	0.7993	0.0722	0.0143	0.9811	0.0094	0.0049	0.0071	0.00089401
act_out_dreams	lead5_level2_energy	0.0659	0.1082	0.6092	0.5424	0.0894	0.0157	0.9898	0.0088	0.0025	0.0071	0.00434281
act_out_dreams	lead5_level3_energy	0.0359	0.0929	0.3866	0.699	0.1583	0.0187	0.9933	0.0098	0.0035	0.0077	0.00128881
act_out_dreams	lead5_level4_energy	-0.0176	0.0948	-0.1856	0.8528	0.1454	0.018	1.0035	0.0091	0.008	0.0081	0.00030976
act_out_dreams	lead5_level5_energy	-0.0516	0.0932	-0.5536	0.5798	0.1442	0.019	1.0069	0.0093	0.0084	0.0081	0.00266256
act_out_dreams	lead5_level6_approx_energy	0.0301	0.112	0.269	0.7879	0.0909	0.0159	1.001	0.0094	-0.0026	0.0075	0.0009060099999999998
act_out_dreams	lead5_level6_energy	-0.0358	0.094	-0.3815	0.7029	0.1436	0.0188	1.0042	0.0093	0.0048	0.0079	0.00128164
act_out_dreams	lead6_level1_energy	-0.1638	0.2198	-0.7452	0.4562	0.019	0.0152	1.013	0.0092	-0.0025	0.0064	0.02683044
act_out_dreams	lead6_level2_energy	0.0248	0.1476	0.1678	0.8667	0.0445	0.0159	1.0069	0.0093	-0.0013	0.0067	0.00061504
act_out_dreams	lead6_level3_energy	0.041	0.1048	0.3911	0.6957	0.0856	0.0199	1.0088	0.0099	-0.0073	0.0067	0.0016810000000000002
act_out_dreams	lead6_level4_energy	0.0613	0.1111	0.5515	0.5813	0.0776	0.0201	1.0172	0.0099	-0.008	0.0068	0.00375769
act_out_dreams	lead6_level5_energy	0.0156	0.1274	0.1224	0.9026	0.0612	0.0177	1.0245	0.0098	-0.0013	0.007	0.00024335999999999997
act_out_dreams	lead6_level6_approx_energy	-0.0682	0.1164	-0.5857	0.5581	0.0724	0.0159	1.0074	0.0097	-0.0029	0.0069	0.004651239999999999
act_out_dreams	lead6_level6_energy	-0.0501	0.1162	-0.4309	0.6666	0.0792	0.0166	1.0203	0.0097	0.0034	0.0072	0.00251001
act_out_dreams	lead7_level1_energy	-0.0108	0.1477	-0.0729	0.9418	0.0321	0.0145	0.9987	0.009	-0.0027	0.006	0.00011664000000000001
act_out_dreams	lead7_level2_energy	-0.0794	0.094	-0.8447	0.3983	0.0947	0.0162	0.9885	0.0091	0.0031	0.0064	0.00630436
act_out_dreams	lead7_level3_energy	0.0209	0.0868	0.2411	0.8095	0.1444	0.0242	0.9877	0.0115	-0.0002	0.0071	0.00043680999999999993
act_out_dreams	lead7_level4_energy	0.0688	0.092	0.7473	0.4549	0.1435	0.0237	0.9882	0.011	-5.65e-06	0.0072	0.00473344
act_out_dreams	lead7_level5_energy	0.0686	0.102	0.6731	0.5009	0.1234	0.0211	0.9979	0.0104	-0.0033	0.0072	0.0047059599999999995
act_out_dreams	lead7_level6_approx_energy	-0.0032	0.1158	-0.0275	0.9781	0.0862	0.0175	1.0041	0.0096	0.0015	0.007	1.024e-05
act_out_dreams	lead7_level6_energy	0.0119	0.1027	0.1156	0.908	0.1165	0.0197	1.0099	0.0102	-0.0002	0.007	0.00014161000000000002
act_out_dreams	lead8_level1_energy	-0.1218	0.1357	-0.8976	0.3694	0.0531	0.0152	1.0044	0.0088	-0.0017	0.0069	0.014835240000000001
act_out_dreams	lead8_level2_energy	-0.1616	0.1031	-1.5673	0.117	0.0946	0.0178	0.9969	0.0097	0.0019	0.0068	0.02611456
act_out_dreams	lead8_level3_energy	-0.0716	0.0936	-0.765	0.4443	0.12	0.0197	0.9839	0.0102	-0.0031	0.0069	0.00512656
act_out_dreams	lead8_level4_energy	-0.1025	0.1076	-0.9524	0.3409	0.0907	0.0186	0.9946	0.0107	-0.0002	0.0069	0.010506249999999998
act_out_dreams	lead8_level5_energy	-0.1483	0.1289	-1.1501	0.2501	0.0653	0.018	1.0093	0.0111	-0.0013	0.0069	0.021992889999999998
act_out_dreams	lead8_level6_approx_energy	-0.2212	0.1405	-1.574	0.1155	0.0583	0.0152	1.0081	0.0095	0.0043	0.0072	0.048929440000000005
act_out_dreams	lead8_level6_energy	-0.2413	0.1456	-1.6578	0.0974	0.0551	0.0169	1.0161	0.0106	0.0034	0.0071	0.05822569
act_out_dreams	lead9_level1_energy	-0.2139	0.1318	-1.6235	0.1045	0.0593	0.0156	1.0029	0.0095	-0.0013	0.0069	0.04575321
